,NIC_PT,NAME,NUI_PT,time,state,county,SAEPOVRTALL_PT,SAEPOVALL_PT
299,4084,"Saguache County, CO",864,2016,08,109,27.6,1757
300,478,"San Juan County, CO",53,2016,08,111,15.5,107
301,6198,"San Miguel County, CO",803,2016,08,113,10.1,811
302,1580,"Sedgwick County, CO",200,2016,08,115,14.8,352
303,23683,"Summit County, CO",2971,2016,08,117,7.9,2398
304,17691,"Teller County, CO",1474,2016,08,119,9.5,2278
305,3313,"Washington County, CO",363,2016,08,121,14.3,674
306,232777,"Weld County, CO",22269,2016,08,123,11.5,33377
307,7057,"Yuma County, CO",974,2016,08,125,12.3,1207
308,729851,"Fairfield County, CT",62457,2016,09,001,8.6,79966
309,692864,"Hartford County, CT",36306,2016,09,003,10.9,95010
310,139452,"Litchfield County, CT",6805,2016,09,005,7.2,12952
311,124640,"Middlesex County, CT",5099,2016,09,007,7.9,12513
312,656167,"New Haven County, CT",38926,2016,09,009,11.4,94687
313,204922,"New London County, CT",9730,2016,09,011,9.3,23961
314,110631,"Tolland County, CT",4116,2016,09,013,7.2,9786
315,89636,"Windham County, CT",4819,2016,09,015,11.9,13297
316,131180,"Kent County, DE",10761,2016,10,001,13.6,23060
317,433597,"New Castle County, DE",26342,2016,10,003,11.3,61319
318,147018,"Sussex County, DE",14391,2016,10,005,11.6,25212
319,546995,District of Columbia,23274,2016,11,001,18.5,119778
320,189784,"Alachua County, FL",26422,2016,12,001,22.3,55990
321,19259,"Baker County, FL",2438,2016,12,003,17.2,4329
322,128436,"Bay County, FL",21705,2016,12,005,14.9,26845
323,16622,"Bradford County, FL",2247,2016,12,007,18.6,4392
324,382145,"Brevard County, FL",57971,2016,12,009,14.7,84028
325,1344441,"Broward County, FL",242930,2016,12,011,13.5,256027
326,8691,"Calhoun County, FL",1453,2016,12,013,21.9,2742
327,90276,"Charlotte County, FL",16698,2016,12,015,12.6,22087
328,77248,"Citrus County, FL",13377,2016,12,017,16.6,23472
329,157348,"Clay County, FL",19204,2016,12,019,9.6,19785
330,195219,"Collier County, FL",53731,2016,12,021,11.4,41076
331,45605,"Columbia County, FL",6595,2016,12,023,17.8,11449
332,19349,"DeSoto County, FL",5782,2016,12,027,28.6,9323
333,9231,"Dixie County, FL",1657,2016,12,029,25.4,3697
334,681720,"Duval County, FL",100346,2016,12,031,14.5,131327
335,217068,"Escambia County, FL",28046,2016,12,033,15.2,45044
336,64046,"Flagler County, FL",11600,2016,12,035,11.2,11997
337,6367,"Franklin County, FL",1145,2016,12,037,23.1,2337
338,29814,"Gadsden County, FL",5469,2016,12,039,20.6,8906
339,11037,"Gilchrist County, FL",2033,2016,12,041,17.3,2825
340,6349,"Glades County, FL",2199,2016,12,043,21.5,2672
341,8378,"Gulf County, FL",1295,2016,12,045,23.5,2958
342,7930,"Hamilton County, FL",1337,2016,12,047,28.9,3363
343,16726,"Hardee County, FL",4470,2016,12,049,23.8,6081
344,25019,"Hendry County, FL",8284,2016,12,051,25.1,9712
345,111492,"Hernando County, FL",18946,2016,12,053,15.4,27794
346,52996,"Highlands County, FL",11995,2016,12,055,19.1,19035
347,1004523,"Hillsborough County, FL",163713,2016,12,057,15,203350
348,11740,"Holmes County, FL",2204,2016,12,059,24.2,4276
349,86545,"Indian River County, FL",15952,2016,12,061,12.3,18518
350,27184,"Jackson County, FL",4434,2016,12,063,22.6,9045
351,8478,"Jefferson County, FL",1295,2016,12,065,18.9,2398
352,4508,"Lafayette County, FL",1145,2016,12,067,23.3,1609
353,209483,"Lake County, FL",34599,2016,12,069,11.8,39212
354,427719,"Lee County, FL",88839,2016,12,071,12.8,91333
355,214530,"Leon County, FL",24285,2016,12,073,19,52124
356,24882,"Levy County, FL",5183,2016,12,075,21.4,8467
357,4438,"Liberty County, FL",754,2016,12,077,23.6,1468
358,10977,"Madison County, FL",1863,2016,12,079,31.9,5205
359,233802,"Manatee County, FL",40663,2016,12,081,12.7,47042
360,201971,"Marion County, FL",38184,2016,12,083,17.4,58992
361,90264,"Martin County, FL",17598,2016,12,085,11.3,17584
362,1800077,"Miami-Dade County, FL",433868,2016,12,086,18.2,487700
363,47984,"Monroe County, FL",11798,2016,12,087,11.5,8801
364,55805,"Nassau County, FL",7436,2016,12,089,10.3,8242
365,145371,"Okaloosa County, FL",20013,2016,12,091,10.7,21032
366,23436,"Okeechobee County, FL",6527,2016,12,093,20.2,7547
367,967613,"Orange County, FL",169689,2016,12,095,16.3,209800
368,243873,"Osceola County, FL",43003,2016,12,097,14.8,49326
369,912972,"Palm Beach County, FL",177174,2016,12,099,12.6,178918
370,333419,"Pasco County, FL",57994,2016,12,101,13.3,66980
371,622672,"Pinellas County, FL",100659,2016,12,103,13.3,125923
372,437797,"Polk County, FL",81205,2016,12,105,16.4,106703
373,45852,"Putnam County, FL",9034,2016,12,107,21.5,15220
374,170851,"St. Johns County, FL",18115,2016,12,109,7.7,17838
375,189806,"St. Lucie County, FL",41398,2016,12,111,17,51657
376,123440,"Santa Rosa County, FL",15413,2016,12,113,10.6,17308
377,222631,"Sarasota County, FL",41532,2016,12,115,10.8,43904
378,338414,"Seminole County, FL",46722,2016,12,117,11.4,51750
379,40909,"Sumter County, FL",5436,2016,12,119,10.5,12115
380,26153,"Suwannee County, FL",5542,2016,12,121,20.4,8244
381,12861,"Taylor County, FL",2105,2016,12,123,22.5,4291
382,7553,"Union County, FL",978,2016,12,125,24.7,2512
383,332985,"Volusia County, FL",57998,2016,12,127,14.2,73420
384,21298,"Wakulla County, FL",2813,2016,12,129,13.1,3728
385,42168,"Walton County, FL",9012,2016,12,131,13.1,8331
386,14992,"Washington County, FL",2644,2016,12,133,22.8,5026
387,12329,"Appling County, GA",2635,2016,13,001,19.7,3542
388,5386,"Atkinson County, GA",1717,2016,13,003,26.4,2176
389,7611,"Bacon County, GA",1742,2016,13,005,22.9,2524
390,2116,"Baker County, GA",405,2016,13,007,27.8,871
391,28115,"Baldwin County, GA",4975,2016,13,009,26,10273
392,12648,"Banks County, GA",2633,2016,13,011,15.5,2845
393,56259,"Barrow County, GA",11640,2016,13,013,12.9,9888
394,74604,"Bartow County, GA",14515,2016,13,015,15.1,15442
395,11934,"Ben Hill County, GA",2168,2016,13,017,26.4,4467
